iter	Logloss	Accuracy
0	0.6022459661	0.8951972655
1	0.5331755093	0.8973215148
2	0.4823793215	0.8968773536
3	0.4428717559	0.8981325918
4	0.4097424305	0.8982677713
5	0.3865998614	0.8964718151
6	0.3678668898	0.8966069946
7	0.3501999153	0.8966649286
8	0.3376181823	0.8969932217
9	0.3272260422	0.89668424
10	0.3167480757	0.8969932217
11	0.3103322576	0.8970511558
12	0.3017629491	0.8982870826
13	0.2969532026	0.8983450167
14	0.2903514522	0.8986153757
15	0.2849529742	0.898847112
16	0.2813735979	0.8989436688
17	0.2777105349	0.900256841
18	0.2747131754	0.900797559
19	0.2723679946	0.9007782477
20	0.2701008165	0.9010292953
21	0.2679015096	0.9007782477
22	0.2662324111	0.9011065408
23	0.2649315361	0.9011837862
24	0.2634629438	0.9015313906
25	0.2615337983	0.901821061
26	0.2594912882	0.9019755518
27	0.2583612388	0.9022265995
28	0.2568064506	0.9024969585
29	0.2560116489	0.9025742039
30	0.2551498569	0.9026514493
31	0.253980149	0.9027480061
32	0.2532595016	0.9029797424
33	0.2521082595	0.9030183651
34	0.2511085214	0.9030762992
35	0.2504344024	0.9032887241
36	0.2498440752	0.9034818377
37	0.2489367887	0.9035977058
38	0.2482986028	0.9035977058
39	0.2478416197	0.9036942626
40	0.2472807941	0.9039453102
41	0.2464868759	0.9040611784
42	0.2459072265	0.904312226
43	0.2451457436	0.9044474055
44	0.2444330615	0.9046984532
45	0.2439253304	0.9051039917
46	0.2434937739	0.9051426144
47	0.2428338688	0.9051426144
48	0.2424905944	0.9051812371
49	0.2419159918	0.9052971052
50	0.2413465018	0.9053164166
51	0.240569418	0.9055481529
52	0.2402762322	0.9054902188
53	0.239860141	0.9057412664
54	0.2392980124	0.9058185119
55	0.2387512589	0.9059730027
56	0.2382680967	0.9058185119
57	0.2378152581	0.9060695595
58	0.2374481494	0.9064944094
59	0.2371522887	0.9066295889
60	0.2369609548	0.9070351274
61	0.2366036192	0.907556534
62	0.2362522402	0.9075372226
63	0.2359825959	0.9075951567
64	0.2356663647	0.9075758454
65	0.2352613452	0.9075758454
66	0.2348834843	0.9076530908
67	0.2345725426	0.9076724021
68	0.2343380346	0.9077882703
69	0.2342025609	0.9081938088
70	0.2339434486	0.9081744974
71	0.2335521026	0.9081938088
72	0.2333499247	0.9083482996
73	0.2330844682	0.9084834791
74	0.2328603013	0.9085993473
75	0.2326001101	0.9086959041
76	0.2324179354	0.9087924608
77	0.2321441137	0.9089662631
78	0.2318439283	0.9089662631
79	0.231591137	0.9091207539
80	0.2313748289	0.9090821312
81	0.2311459103	0.9092173107
82	0.2307914505	0.9092366221
83	0.2305548369	0.9092945561
84	0.2303983598	0.9092752448
85	0.2302249701	0.9093718016
86	0.2300314428	0.9094104243
87	0.2298415014	0.9094683583
88	0.2296020736	0.9094683583
89	0.2294501683	0.9095262924
90	0.2292240931	0.909449047
91	0.2290832142	0.9096807833
92	0.2288800042	0.9097966514
93	0.2286854347	0.9099125196
94	0.2286064825	0.9100090763
95	0.2283958391	0.9101635672
96	0.2282625372	0.9101828786
97	0.2282289147	0.9102021899
98	0.2281208426	0.9102021899
99	0.2279640971	0.9102794353
100	0.2277935361	0.9101828786
101	0.2276964441	0.9102408126
102	0.2275146631	0.9103953035
103	0.2273099255	0.9103759921
104	0.2271167095	0.9104532375
105	0.2269856511	0.9105497943
106	0.2268485093	0.9105111716
107	0.2266458642	0.9106463511
108	0.226529562	0.9107622193
109	0.2262199309	0.9106656625
110	0.2261344151	0.9108394647
111	0.2259683024	0.910800842
112	0.2258110684	0.9108201533
113	0.2257313038	0.910800842
114	0.2255886942	0.9110905123
115	0.2255143523	0.9111098237
116	0.2253062077	0.9112256918
117	0.2251899367	0.9112450032
118	0.2250805453	0.9112450032
119	0.224986866	0.9112256918
120	0.2248836577	0.9112643145
121	0.2246905733	0.9112643145
122	0.22454929	0.9113222486
123	0.2244269921	0.9112643145
124	0.2243562712	0.9112836259
125	0.2242462315	0.9113608713
126	0.2241414037	0.9114188054
127	0.2237653454	0.9114767395
128	0.2235939549	0.9115539849
129	0.2234926826	0.9117664098
130	0.2233490583	0.9118436553
131	0.223020394	0.9119981461
132	0.2228996803	0.9121140143
133	0.2227504413	0.9121140143
134	0.222634357	0.9120753915
135	0.2224657875	0.9122491938
136	0.2223513609	0.9122491938
137	0.2222480094	0.9123650619
138	0.2221415611	0.912422996
139	0.2219359406	0.91248093
140	0.2217898303	0.9125967982
141	0.2216772776	0.9127319777
142	0.2215264428	0.9130023367
143	0.2214247221	0.9129444026
144	0.2211320881	0.9130602707
145	0.2210622384	0.9131182048
146	0.2209451703	0.9132147616
147	0.2207297872	0.9133113184
148	0.2205835722	0.9134464979
149	0.2204737448	0.9134271865
150	0.2203531319	0.913292007
151	0.2202209975	0.9134851206
152	0.2201110136	0.9134464979
153	0.2199457431	0.9134851206
154	0.2198239151	0.9136975455
155	0.2197043536	0.9137941023
156	0.21959864	0.9137554796
157	0.2194950448	0.9137554796
158	0.2193895483	0.9138134137
159	0.219259446	0.9137554796
160	0.2191658792	0.9138134137
161	0.2190678172	0.9138713477
162	0.2189843483	0.9139099705
163	0.2187875843	0.9139099705
164	0.2186959717	0.9140065272
165	0.2185548502	0.9140644613
166	0.2183495649	0.91404515
167	0.218233731	0.9140258386
168	0.2181375613	0.914103084
169	0.2180515674	0.9141996408
170	0.2179764041	0.9141223954
171	0.2178660135	0.9141610181
172	0.217779873	0.9141803295
173	0.2176931377	0.9142382635
174	0.2176000424	0.9142189522
175	0.2175228592	0.9142382635
176	0.2174423255	0.914373443
177	0.2173481517	0.9144699998
178	0.2172775412	0.9144313771
179	0.2172026507	0.9144699998
180	0.2171188841	0.9144506884
181	0.2169403276	0.9144893112
182	0.216848267	0.9145858679
183	0.2167703199	0.914643802
184	0.2166221204	0.9146824247
185	0.2164659886	0.9147596702
186	0.2163635005	0.9148562269
187	0.2163023282	0.9147596702
188	0.2162293653	0.9148369156
189	0.2160600062	0.9148562269
190	0.2159855771	0.914914161
191	0.2158936578	0.9149527837
192	0.2157990986	0.9149914064
193	0.2157190913	0.9150493405
194	0.2156588617	0.91518452
195	0.215555687	0.9152617654
196	0.2154964975	0.9153776336
197	0.2154259476	0.9153969449
198	0.2153558378	0.9153196995
199	0.2152969753	0.9153196995
200	0.2152142096	0.9154162563
201	0.2151345377	0.9154355677
202	0.2150699497	0.915454879
203	0.2149489219	0.9154741904
204	0.2148316383	0.9154935017
205	0.21476559	0.915454879
206	0.2147152414	0.9155128131
207	0.2146685103	0.9155514358
208	0.2145070922	0.9155707472
209	0.2143095243	0.9156093699
210	0.2142346449	0.9157059267
211	0.2141601916	0.9157445494
212	0.2140801826	0.9158024834
213	0.2140089429	0.9158604175
214	0.2139255275	0.9159376629
215	0.213831313	0.9158604175
216	0.2137456084	0.9158411062
217	0.2136606533	0.9159183516
218	0.2135750557	0.9161114652
219	0.2135015281	0.9160921538
220	0.2133469569	0.9160728424
221	0.2132995626	0.9160728424
222	0.2132393803	0.9160921538
223	0.2131588081	0.9160149084
224	0.2130998438	0.9160535311
225	0.2130428461	0.9160921538
226	0.2130037911	0.9160535311
227	0.2129453086	0.9160921538
228	0.2128952374	0.9160535311
229	0.2127990751	0.9162080219
230	0.2126962291	0.916265956
231	0.2126339851	0.916265956
232	0.212585858	0.9162852674
233	0.2125000922	0.9163045787
234	0.2124629971	0.9162852674
235	0.2124016424	0.9162852674
236	0.2123453453	0.9163432014
237	0.2122947762	0.9163625128
238	0.2122206234	0.9163432014
239	0.2121569797	0.9163818242
240	0.2121078587	0.9163818242
241	0.2120093357	0.9164783809
242	0.2119624409	0.9165749377
243	0.2119237667	0.9164397582
244	0.2118616417	0.9166521831
245	0.2118091164	0.9166521831
246	0.211755201	0.9166135604
247	0.2116556426	0.9165749377
248	0.211574219	0.9165749377
249	0.2115127911	0.9166908059
250	0.2114519722	0.9166328718
251	0.2113719912	0.9167101172
252	0.2112856032	0.9168259854
253	0.2112275942	0.9167873626
254	0.2111525823	0.9167873626
255	0.2110262309	0.9167873626
256	0.2109742206	0.9169032308
257	0.2109299932	0.9169418535
258	0.2108604626	0.9169225421
259	0.2108052812	0.9169418535
260	0.2107419515	0.9169804762
261	0.2106881679	0.9169418535
262	0.2106429297	0.9169032308
263	0.2105842264	0.9168839194
264	0.2105290047	0.9169611649
265	0.2104471447	0.9169611649
266	0.2103974082	0.9170190989
267	0.2103520191	0.9170577216
268	0.210271226	0.9171349671
269	0.2102295569	0.9171156557
270	0.2101763442	0.9170963444
271	0.2101366975	0.9171542784
272	0.2100691196	0.9172508352
273	0.2100227845	0.9172315239
274	0.2099661099	0.9172122125
275	0.2099160854	0.9172701466
276	0.2098749687	0.9172894579
277	0.2097961299	0.9172701466
278	0.2097342716	0.9173280806
279	0.2096722498	0.917347392
280	0.2096107739	0.9173280806
281	0.2095410079	0.917347392
282	0.2094629831	0.9174246374
283	0.2094171218	0.9174632601
284	0.2093334451	0.9174246374
285	0.2092874101	0.9174439488
286	0.209239289	0.9174825715
287	0.2091809698	0.9175984396
288	0.2091320401	0.9176370624
289	0.2090791338	0.917617751
290	0.2090054001	0.917617751
291	0.2089630802	0.917617751
292	0.2089273402	0.9175984396
293	0.2088700737	0.9177143078
294	0.2088276363	0.9177336191
295	0.2087627987	0.9177915532
296	0.2087246172	0.9177529305
297	0.2086613097	0.9179267327
298	0.2086145307	0.9179653554
299	0.2085748069	0.9181198463
300	0.2085338262	0.9181391576
301	0.2084915693	0.9181391576
302	0.2083870418	0.9180619122
303	0.2083478128	0.9180232895
304	0.208292609	0.9181391576
305	0.2082240343	0.9181198463
306	0.2081903816	0.9181391576
307	0.2081272666	0.9183129599
308	0.2080705189	0.9183322712
309	0.2080264658	0.9183322712
310	0.2079897761	0.9183902053
311	0.2079566923	0.9182936485
312	0.2078702241	0.9183708939
313	0.207830872	0.9183708939
314	0.2077777621	0.9183708939
315	0.2077337892	0.9183515826
316	0.207682182	0.918428828
317	0.207618785	0.918428828
318	0.2075784636	0.918428828
319	0.2075298467	0.9185253848
320	0.2075027332	0.9185446961
321	0.2074205089	0.9185253848
322	0.2073690038	0.9185253848
323	0.207308624	0.9185446961
324	0.2072656594	0.9185833188
325	0.2072178585	0.9186219416
326	0.2071796547	0.9186219416
327	0.2071428285	0.9186798756
328	0.2070605583	0.9187378097
329	0.2070209321	0.9186605643
330	0.2069708628	0.9186798756
331	0.2069339033	0.9187378097
332	0.206885196	0.9187957438
333	0.2068370566	0.9187957438
334	0.2067623545	0.9188536778
335	0.2066944552	0.9188343665
336	0.2066562447	0.9187378097
337	0.2066066471	0.9187378097
338	0.2065736327	0.9187764324
339	0.2064479959	0.9187571211
340	0.206408787	0.9186412529
341	0.2063827701	0.9186605643
342	0.2063238725	0.9186412529
343	0.2062454156	0.9187764324
344	0.2062060448	0.9187764324
345	0.2061549347	0.9188150551
346	0.2061212246	0.9188150551
347	0.206094128	0.9188729892
348	0.2060441064	0.9189502346
349	0.2059599264	0.9189116119
350	0.2059172858	0.9188923006
351	0.2058685249	0.9188729892
352	0.2058171393	0.918969546
353	0.2057706565	0.9189888573
354	0.2057204839	0.9190081687
355	0.2056819189	0.9190274801
356	0.2056374068	0.9190661028
357	0.205566188	0.9190854141
358	0.2055336901	0.9191819709
359	0.2054878568	0.919239905
360	0.2054542712	0.9192592163
361	0.2053943625	0.9192785277
362	0.2053441366	0.9192785277
363	0.2053106282	0.9192785277
364	0.2052680063	0.9193171504
365	0.2051739286	0.9193557731
366	0.2051147419	0.9193364618
367	0.205078972	0.9193364618
368	0.2050307041	0.9192785277
369	0.2050044696	0.9193171504
370	0.2049647701	0.9192785277
371	0.2049399247	0.9193364618
372	0.2048935968	0.9193750845
373	0.2048454036	0.9193557731
374	0.2048073268	0.9193557731
375	0.2047733307	0.9193557731
376	0.2047503852	0.9193557731
377	0.2047081746	0.9193557731
378	0.2046787868	0.9193171504
379	0.2046214979	0.9194716413
380	0.2045800808	0.9194909526
381	0.204508691	0.9194909526
382	0.2044871842	0.9195681981
383	0.2044232495	0.9195875094
384	0.2043898797	0.9196068208
385	0.2043586383	0.9195295753
386	0.2043188048	0.9195295753
387	0.2042823598	0.9194909526
388	0.2041899496	0.9195681981
389	0.204149575	0.9195875094
390	0.204121019	0.9196261321
391	0.2040506004	0.9196840662
392	0.2040029735	0.9196840662
393	0.20394952	0.9196454435
394	0.2038940165	0.9196647548
395	0.2038553196	0.9196647548
396	0.2038068863	0.9196454435
397	0.203760337	0.9196647548
398	0.2036981246	0.9197420003
399	0.2036223089	0.9197999343
400	0.20357954	0.919780623
401	0.2035254939	0.9197999343
402	0.2034821932	0.9198385571
403	0.2034330959	0.9198771798
404	0.2034019744	0.9199930479
405	0.2033580196	0.9200123593
406	0.2033269521	0.9199930479
407	0.2032920618	0.9201089161
408	0.2032397185	0.9200123593
409	0.2031959702	0.9201668501
410	0.203168901	0.9201668501
411	0.2031394856	0.9201668501
412	0.2031067325	0.9201475388
413	0.2030704853	0.9201668501
414	0.2030345011	0.9202440956
415	0.2030008843	0.9202827183
416	0.2029560279	0.9202634069
417	0.2029115898	0.9202054728
418	0.2028779787	0.9202827183
419	0.2028448284	0.9203406523
420	0.2028042187	0.9204178978
421	0.2027575212	0.9204372091
422	0.202707044	0.9204372091
423	0.2026749316	0.9204951432
424	0.2026073331	0.9205917
425	0.2025176418	0.9206689454
426	0.2024582704	0.9206689454
427	0.2024006443	0.9207075681
428	0.2023591733	0.920649634
429	0.202310817	0.9207461908
430	0.2022651075	0.9208234363
431	0.2022311733	0.9208041249
432	0.2021998903	0.9208234363
433	0.2021677839	0.9208813703
434	0.2021285211	0.9209393044
435	0.2020889577	0.9209393044
436	0.202048758	0.9209393044
437	0.2020227038	0.9209393044
438	0.2020021083	0.9209586158
439	0.2019797165	0.9209393044
440	0.2019312557	0.9209393044
441	0.2019025484	0.920862059
442	0.201872324	0.9209006817
443	0.2018481228	0.9208813703
444	0.2018285151	0.9209393044
445	0.2017881902	0.9209393044
446	0.2017666614	0.9209586158
447	0.2017284279	0.9209586158
448	0.2016866009	0.9209779271
449	0.2016239743	0.9209972385
450	0.2015997346	0.9209779271
451	0.2015851269	0.9210358612
452	0.2015496664	0.9210358612
453	0.2015331066	0.9210165498
454	0.2015088325	0.9210358612
455	0.2014377353	0.9210937953
456	0.201380081	0.9211131066
457	0.2013393746	0.9210937953
458	0.2013122413	0.9210937953
459	0.2012964126	0.9210937953
460	0.2012618027	0.9210744839
461	0.2012227269	0.9210744839
462	0.2011807291	0.9210937953
463	0.2011459648	0.9211517293
464	0.2011204781	0.921190352
465	0.2010803992	0.9212289748
466	0.2010362445	0.9212675975
467	0.200968716	0.9213255315
468	0.2009271464	0.9213641543
469	0.2008699389	0.9213255315
470	0.2008320599	0.9213255315
471	0.2007854527	0.921402777
472	0.2007182432	0.9214413997
473	0.2006921577	0.921460711
474	0.2006307835	0.921460711
475	0.2005881013	0.9213834656
476	0.2005476557	0.921460711
477	0.2005029219	0.9214220883
478	0.2004248389	0.9214220883
479	0.2003866479	0.9214220883
480	0.2003552329	0.9214993338
481	0.2003049239	0.921460711
