iter	Passed	Remaining
0	56	56465
1	64	32011
2	71	23915
3	78	19643
4	86	17117
5	93	15451
6	99	14129
7	106	13168
8	113	12538
9	122	12118
10	131	11783
11	139	11484
12	147	11201
13	154	10891
14	162	10641
15	170	10479
16	179	10364
17	186	10189
18	196	10123
19	204	10014
20	211	9847
21	218	9727
22	225	9560
23	231	9417
24	237	9257
25	244	9146
26	250	9009
27	256	8908
28	262	8792
29	268	8683
30	275	8599
31	281	8509
32	287	8425
33	293	8337
34	300	8282
35	306	8212
36	313	8166
37	320	8111
38	326	8038
39	332	7982
40	340	7957
41	346	7906
42	351	7824
43	356	7746
44	361	7663
45	366	7592
46	370	7521
47	375	7452
48	380	7389
49	385	7329
50	391	7280
51	397	7239
52	402	7199
53	408	7161
54	415	7134
55	421	7101
56	427	7074
57	434	7055
58	440	7028
59	446	6991
60	453	6977
61	460	6960
62	466	6935
63	473	6920
64	479	6898
65	486	6885
66	493	6868
67	499	6851
68	506	6837
69	513	6825
70	519	6796
71	526	6782
72	532	6768
73	539	6752
74	545	6732
75	551	6708
76	557	6687
77	563	6660
78	570	6646
79	576	6631
80	582	6605
81	590	6609
82	597	6596
83	603	6577
84	609	6559
85	615	6540
86	621	6524
87	628	6516
88	635	6502
89	641	6491
90	647	6471
91	653	6453
92	660	6441
93	667	6438
94	674	6425
95	680	6410
96	686	6393
97	691	6364
98	698	6358
99	706	6355
100	712	6345
101	719	6333
102	727	6335
103	734	6331
104	742	6332
105	749	6324
106	757	6324
107	765	6322
108	773	6325
109	781	6322
110	790	6327
111	797	6321
112	804	6316
113	811	6305
114	817	6292
115	824	6283
116	832	6282
117	839	6277
118	848	6278
119	856	6278
120	863	6276
121	872	6275
122	879	6271
123	887	6267
124	894	6260
125	900	6247
126	907	6235
127	913	6225
128	919	6208
129	925	6193
130	932	6184
131	944	6210
132	952	6208
133	960	6205
134	967	6201
135	975	6197
136	983	6193
137	990	6187
138	998	6184
139	1005	6178
140	1013	6173
141	1021	6171
142	1028	6166
143	1036	6164
144	1044	6158
145	1051	6147
146	1058	6141
147	1065	6134
148	1072	6127
149	1079	6117
150	1087	6113
151	1096	6117
152	1103	6107
153	1110	6098
154	1117	6092
155	1124	6084
156	1132	6079
157	1139	6074
158	1146	6065
159	1153	6055
160	1160	6048
161	1167	6038
162	1175	6035
163	1184	6037
164	1191	6032
165	1198	6022
166	1205	6012
167	1211	5999
168	1217	5985
169	1222	5970
170	1228	5954
171	1234	5940
172	1239	5926
173	1245	5913
174	1252	5902
175	1258	5890
176	1264	5879
177	1271	5873
178	1278	5864
179	1285	5854
180	1294	5857
181	1301	5850
182	1308	5843
183	1315	5832
184	1321	5822
185	1328	5812
186	1334	5803
187	1342	5796
188	1348	5788
189	1355	5779
190	1361	5767
191	1367	5755
192	1373	5745
193	1380	5734
194	1386	5721
195	1393	5715
196	1400	5708
197	1407	5701
198	1415	5695
199	1421	5686
200	1427	5675
201	1433	5663
202	1439	5650
203	1444	5637
204	1450	5625
205	1455	5611
206	1461	5598
207	1467	5586
208	1472	5574
209	1478	5562
210	1484	5550
211	1489	5536
212	1495	5524
213	1500	5511
214	1506	5499
215	1512	5491
216	1518	5480
217	1524	5469
218	1530	5459
219	1536	5447
220	1542	5435
221	1547	5423
222	1552	5411
223	1559	5403
224	1565	5392
225	1572	5383
226	1579	5377
227	1585	5369
228	1592	5361
229	1598	5352
230	1605	5343
231	1610	5332
232	1617	5324
233	1623	5313
234	1629	5304
235	1635	5295
236	1643	5290
237	1650	5283
238	1656	5274
239	1665	5272
240	1670	5262
241	1678	5256
242	1685	5251
243	1692	5243
244	1699	5237
245	1706	5231
246	1715	5230
247	1724	5227
248	1731	5222
249	1738	5214
250	1748	5216
251	1756	5213
252	1763	5208
253	1771	5203
254	1780	5201
255	1788	5198
256	1796	5195
257	1803	5188
258	1810	5179
259	1816	5170
260	1823	5161
261	1828	5150
262	1833	5139
263	1838	5126
264	1843	5114
265	1849	5102
266	1854	5090
267	1859	5078
268	1864	5067
269	1869	5055
270	1875	5044
271	1880	5032
272	1885	5020
273	1891	5012
274	1898	5005
275	1904	4995
276	1921	5014
277	1927	5005
278	1932	4994
279	1937	4982
280	1942	4970
281	1947	4958
282	1952	4947
283	1957	4935
284	1962	4923
285	1967	4912
286	1972	4900
287	1979	4892
288	1985	4884
289	1991	4875
290	1996	4865
291	2001	4853
292	2006	4841
293	2013	4833
294	2018	4824
295	2024	4814
296	2030	4805
297	2036	4796
298	2043	4790
299	2049	4781
300	2055	4774
301	2061	4765
302	2068	4758
303	2075	4751
304	2080	4741
305	2087	4733
306	2093	4726
307	2100	4719
308	2106	4710
309	2112	4701
310	2117	4692
311	2124	4684
312	2130	4675
313	2135	4665
314	2141	4656
315	2147	4649
316	2153	4639
317	2159	4630
318	2165	4622
319	2171	4615
320	2178	4608
321	2184	4600
322	2191	4592
323	2197	4585
324	2204	4577
325	2209	4568
326	2214	4558
327	2219	4547
328	2224	4537
329	2230	4528
330	2236	4519
331	2242	4512
332	2250	4507
333	2255	4497
334	2262	4492
335	2269	4485
336	2276	4479
337	2283	4471
338	2289	4464
339	2296	4458
340	2303	4451
341	2310	4445
342	2318	4440
343	2324	4433
344	2331	4425
345	2338	4420
346	2345	4413
347	2351	4405
348	2358	4399
349	2365	4392
350	2372	4386
351	2379	4380
352	2385	4373
353	2392	4365
354	2398	4358
355	2405	4351
356	2413	4346
357	2420	4340
358	2426	4333
359	2433	4326
360	2440	4319
361	2447	4313
362	2454	4307
363	2461	4300
364	2467	4292
365	2474	4287
366	2482	4281
367	2488	4273
368	2495	4267
369	2502	4260
370	2509	4254
371	2515	4246
372	2524	4244
373	2532	4239
374	2540	4234
375	2547	4227
376	2553	4219
377	2561	4214
378	2568	4208
379	2575	4202
380	2582	4195
381	2589	4189
382	2596	4182
383	2602	4175
384	2609	4168
385	2616	4161
386	2623	4155
387	2629	4148
388	2634	4138
389	2640	4129
390	2644	4119
391	2649	4109
392	2654	4100
393	2660	4091
394	2665	4081
395	2669	4072
396	2675	4063
397	2680	4053
398	2685	4044
399	2690	4036
400	2697	4029
401	2703	4021
402	2709	4014
403	2715	4006
404	2721	3997
405	2727	3990
406	2733	3982
407	2739	3974
408	2745	3966
409	2751	3959
410	2759	3954
411	2765	3946
412	2771	3939
413	2778	3932
414	2784	3925
415	2790	3917
416	2796	3909
417	2802	3901
418	2808	3893
419	2814	3886
420	2819	3878
421	2826	3870
422	2832	3863
423	2838	3855
424	2844	3847
425	2850	3840
426	2856	3833
427	2863	3826
428	2868	3818
429	2874	3810
430	2881	3803
431	2895	3806
432	2901	3800
433	2907	3791
434	2912	3782
435	2917	3773
436	2922	3764
437	2927	3755
438	2931	3746
439	2936	3737
440	2941	3728
441	2946	3719
442	2952	3712
443	2958	3704
444	2963	3696
445	2969	3689
446	2974	3680
447	2980	3671
448	2985	3663
449	2990	3655
450	2996	3647
451	3001	3639
452	3007	3631
453	3012	3623
454	3017	3614
455	3022	3606
456	3027	3597
457	3032	3589
458	3037	3580
459	3042	3571
460	3047	3563
461	3052	3554
462	3057	3546
463	3062	3537
464	3067	3529
465	3072	3520
466	3077	3512
467	3082	3503
468	3087	3495
469	3092	3487
470	3097	3478
471	3102	3470
472	3107	3462
473	3112	3454
474	3117	3445
475	3122	3437
476	3126	3428
477	3131	3419
478	3136	3411
479	3140	3402
480	3145	3394
481	3151	3386
482	3158	3380
483	3165	3374
484	3169	3365
485	3175	3358
486	3181	3351
487	3188	3345
488	3194	3338
489	3200	3330
490	3207	3325
491	3213	3318
492	3219	3310
493	3224	3303
494	3230	3296
495	3237	3289
496	3243	3282
497	3249	3275
498	3255	3268
499	3261	3261
500	3267	3254
501	3273	3247
502	3279	3240
503	3286	3234
504	3292	3227
505	3298	3220
506	3304	3213
507	3310	3206
508	3316	3199
509	3321	3191
510	3328	3185
511	3335	3179
512	3342	3173
513	3348	3166
514	3355	3159
515	3361	3153
516	3367	3146
517	3374	3139
518	3379	3132
519	3385	3124
520	3390	3117
521	3395	3108
522	3399	3100
523	3405	3093
524	3409	3085
525	3414	3077
526	3419	3069
527	3424	3061
528	3429	3053
529	3434	3046
530	3439	3038
531	3445	3030
532	3450	3023
533	3455	3015
534	3460	3007
535	3466	3000
536	3471	2993
537	3476	2985
538	3481	2978
539	3487	2970
540	3492	2963
541	3497	2955
542	3502	2947
543	3506	2939
544	3513	2933
545	3518	2926
546	3524	2918
547	3530	2912
548	3536	2905
549	3543	2899
550	3550	2893
551	3557	2887
552	3564	2881
553	3570	2874
554	3575	2867
555	3581	2860
556	3588	2853
557	3595	2847
558	3600	2840
559	3606	2833
560	3612	2826
561	3619	2820
562	3624	2813
563	3629	2806
564	3636	2799
565	3642	2793
566	3648	2786
567	3654	2779
568	3660	2772
569	3667	2766
570	3673	2760
571	3680	2754
572	3686	2746
573	3692	2740
574	3699	2734
575	3705	2727
576	3710	2720
577	3716	2713
578	3721	2706
579	3726	2698
580	3732	2691
581	3738	2684
582	3744	2678
583	3749	2671
584	3756	2664
585	3761	2657
586	3766	2650
587	3771	2642
588	3776	2635
589	3781	2627
590	3786	2620
591	3791	2613
592	3796	2605
593	3801	2598
594	3807	2591
595	3812	2584
596	3816	2576
597	3821	2569
598	3826	2561
599	3831	2554
600	3836	2547
601	3841	2539
602	3846	2532
603	3873	2539
604	3881	2533
605	3887	2527
606	3894	2521
607	3900	2514
608	3905	2507
609	3911	2500
610	3917	2494
611	3923	2487
612	3929	2480
613	3935	2474
614	3942	2467
615	3949	2462
616	3956	2455
617	3963	2450
618	3972	2445
619	3979	2439
620	3986	2432
621	3992	2426
622	3999	2420
623	4005	2413
624	4011	2407
625	4018	2400
626	4025	2395
627	4032	2388
628	4039	2382
629	4046	2376
630	4054	2370
631	4060	2364
632	4066	2357
633	4073	2351
634	4080	2345
635	4086	2338
636	4092	2332
637	4099	2325
638	4106	2319
639	4113	2313
640	4118	2306
641	4125	2300
642	4132	2294
643	4138	2287
644	4144	2281
645	4150	2274
646	4157	2268
647	4163	2261
648	4169	2255
649	4176	2248
650	4183	2242
651	4189	2236
652	4196	2229
653	4202	2223
654	4209	2216
655	4215	2210
656	4222	2204
657	4228	2197
658	4234	2191
659	4240	2184
660	4247	2178
661	4254	2172
662	4260	2165
663	4266	2158
664	4272	2152
665	4278	2145
666	4285	2139
667	4291	2132
668	4298	2126
669	4304	2120
670	4311	2113
671	4318	2107
672	4326	2102
673	4332	2095
674	4339	2089
675	4346	2083
676	4353	2076
677	4360	2071
678	4366	2064
679	4372	2057
680	4378	2050
681	4384	2044
682	4390	2037
683	4396	2031
684	4402	2024
685	4408	2017
686	4415	2011
687	4420	2004
688	4426	1997
689	4432	1991
690	4437	1984
691	4443	1977
692	4450	1971
693	4457	1965
694	4463	1958
695	4468	1951
696	4474	1945
697	4480	1938
698	4487	1932
699	4493	1925
700	4498	1918
701	4504	1912
702	4510	1905
703	4518	1899
704	4524	1893
705	4530	1886
706	4536	1880
707	4542	1873
708	4548	1866
709	4553	1859
710	4559	1853
711	4566	1846
712	4572	1840
713	4578	1833
714	4584	1827
715	4591	1821
716	4597	1814
717	4604	1808
718	4610	1802
719	4616	1795
720	4622	1788
721	4628	1782
722	4633	1775
723	4638	1768
724	4643	1761
725	4648	1754
726	4653	1747
727	4658	1740
728	4663	1733
729	4668	1726
730	4673	1719
731	4678	1713
732	4683	1706
733	4688	1699
734	4693	1692
735	4699	1685
736	4704	1678
737	4709	1671
738	4715	1665
739	4721	1658
740	4727	1652
741	4733	1645
742	4738	1639
743	4743	1632
744	4748	1625
745	4753	1618
746	4758	1611
747	4763	1604
748	4768	1597
749	4773	1591
750	4778	1584
751	4783	1577
752	4789	1571
753	4795	1564
754	4802	1558
755	4808	1552
756	4815	1545
757	4821	1539
758	4827	1532
759	4864	1536
760	4872	1530
761	4879	1524
762	4885	1517
763	4891	1510
764	4897	1504
765	4904	1498
766	4910	1491
767	4917	1485
768	4924	1479
769	4932	1473
770	4938	1466
771	4945	1460
772	4951	1453
773	4956	1447
774	4961	1440
775	4966	1433
776	4971	1426
777	4976	1419
778	4981	1413
779	4986	1406
780	4991	1399
781	4996	1392
782	5001	1386
783	5006	1379
784	5011	1372
785	5016	1365
786	5021	1359
787	5026	1352
788	5032	1345
789	5038	1339
790	5043	1332
791	5048	1325
792	5053	1319
793	5058	1312
794	5063	1305
795	5068	1299
796	5073	1292
797	5078	1285
798	5083	1278
799	5088	1272
800	5093	1265
801	5098	1258
802	5104	1252
803	5110	1245
804	5116	1239
805	5123	1233
806	5128	1226
807	5133	1219
808	5138	1213
809	5144	1206
810	5148	1199
811	5153	1193
812	5158	1186
813	5164	1180
814	5169	1173
815	5174	1166
816	5179	1160
817	5184	1153
818	5189	1146
